1,Team C,Carlos Rodrï¿½guez, Laura Hernï¿½ndez, Ismael Sï¿½nchez, Karen Dï¿½az, 5, L                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
1,Team A,Juan Pï¿½rez, Marï¿½a Garcï¿½a, Carlos Lï¿½pez, Ana Martï¿½nez, 13, W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1,Team B,Luis Rodrï¿½guez, Sofia Hernï¿½ndez, Pedro Sï¿½nchez, Laura Dï¿½az, 10, L                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2,Team C,Carlos Rodrï¿½guez, Laura Hernï¿½ndez, Ismael Sï¿½nchez, Karen Dï¿½az, 90, L                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2,Team A,Juan Pï¿½rez, Marï¿½a Garcï¿½a, Carlos Lï¿½pez, Ana Martï¿½nez, 92, W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2,Team B,Luis Rodrï¿½guez, Sofia Hernï¿½ndez, Pedro Sï¿½nchez, Laura Dï¿½az, 80, L                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1,Team C,Carlos Rodríguez, Laura Hernández, Ismael Sánchez, Karen Díaz, 5, L                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
1,Team A,Juan Pérez, María García, Carlos López, Ana Martínez, 23, W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1,Team B,Luis Rodríguez, Sofia Hernández, Pedro Sánchez, Laura Díaz, 10, L                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2,Team C,Carlos Rodríguez, Laura Hernández, Ismael Sánchez, Karen Díaz, 17, W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2,Team A,Juan Pérez, María García, Carlos López, Ana Martínez, 9, L                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2,Team B,Luis Rodríguez, Sofia Hernández, Pedro Sánchez, Laura Díaz, 12, L                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
